atom_diff,reaction_class,delta_mass,count
<4H+C+O+S>,Redox reaction,63.998285922890005,5
<4H+6C+4O>,Hydrolysis,140.0109586072,5
<12H+4C+2N-O>,Redox reaction,72.10513377605,5
<12H+6C+6O>,Lytic reaction,180.06338810418,5
<14H+8C+2N+3O>,Ligation reaction,186.10044231879,5
<40H+25C>,Transfer reaction,340.3130012892,5
<40H+24C+20O>,Hydrolysis,648.2112936806,5
<3H+6C+N+O>,Others,105.02146372069,5
<14H+10C+2N+6O>,Transfer reaction,258.0851861775,5
<14H+10C+O>,Ligation reaction,150.10446507079,5
<38H+24C+4O>,Transfer reaction,390.27700970302,5
<5H+2C+N+O>,Redox reaction,59.03711378515,5
<6H+11C+O>,Transfer reaction,154.04186481295002,5
<30H+16C+2O>,Others,254.22458020604,5
<8H+6C+4O>,Redox reaction,144.04225873612,5
<6H+7C+2O>,Redox reaction,122.03677943252,5
<7H+6C+2N+O>,Transfer reaction,123.05583785404,5
<-H+N+O>,Redox reaction,28.99016359177,5
<10H+6C+2N+2O>,Ligation reaction,142.0742275703,5
<10H+3C+2N-O>,Redox reaction,58.089483711590006,5
<6H+5C+2O>,Lytic reaction,98.03677943252,5
<7H+8C+N+2O>,Redox reaction,149.04767846918,5
<7H+3C+N+2O+S>,Lytic reaction,121.01974964358,5
<8H+4C+2N+O>,Hydrolysis,100.06366288627,5
<-H-O+F>,Hydrolysis,1.995663510930001,5
<9H+7C+3N+3O>,Transfer reaction,183.06439116207,4
<3H+5C+N+O>,Hydrolysis,93.02146372069,4
<4H+C-O>,Redox reaction,0.0363855093500014,4
<7H+10C+N+3O>,Transfer reaction,189.04259308875,4
<2H+3O>,Redox reaction,50.00039392317,4
<78H+46C-2N-5O>,Transfer reaction,522.62963140723,4
<3H+6C+2O+Br>,Others,185.93164193583,4
<8H+9C+2O>,Transfer reaction,148.05242949698,4
<2H+4C+3O>,Hydrolysis,98.00039392317,4
<8H>,Redox reaction,8.06260025784,4
<2H+3C+2N+6O+2P>,Transfer reaction,223.93880978758,4
<168H+86C+3O>,Others,1249.29934927335,4
<3H+3C+N+2O>,Hydrolysis,85.01637834025999,4
<18H+10C+2O>,Others,170.13067981928,4
<56H+34C+2N+23O>,Others,860.3273860638501,4
<3H+2O+P>,Redox reaction,65.98706633425,4
<166H+85C+3O>,Others,1235.28369920889,4
<71H+43C+5O+P>,Transfer reaction,698.5039123846,4
<3H+7C+3N+4O>,Others,193.01235558826,4
<26H+14C+2O>,Transfer reaction,226.19328007712,4
<4H+C+2N+O>,Lytic reaction,60.03236275735,4
<4H+8C+3O>,Hydrolysis,148.01604398762998,4
<7H+8C+N+O>,Redox reaction,133.05276384961002,4
<12H+7C+5O>,Hydrolysis,176.06847348461,4
<12H+7C+2N+3O>,Hydrolysis,172.08479225433,4
<12H+8C+O>,Others,124.08881500633,4
<H+4O+P>,Redox reaction,95.96124550893,4
<4H+3C+S>,Others,72.00337130332,4
<2C+O>,Others,39.99491461957,4
<16H+9C+O>,Others,140.12011513525002,4
<12H+5C+N>,Hydrolysis,86.09697439119,4
<42H+22C+O>,Hydrolysis,322.32356597323,4
<12H+5C+N+3O+P>,Transfer reaction,165.05548024832,4
<4H+4C+5O>,Lytic reaction,132.00587322677,4
<87H+43C+5O+P>,Transfer reaction,714.6291129002799,4
<13H+10C+5N+9O+2P>,Hydrolysis,409.01885101411,4
<8H+10C+2N+O>,Redox reaction,172.06366288627,4
<10H+10C+O>,Others,146.07316494187,4
<4H+6C+O>,Hydrolysis,92.02621474849,4
<H+2C+O+Cl>,Transfer reaction,75.9715923338,4
<3H+C+N+2O>,Ligation reaction,61.01637834026,4
<13H+7C+N+2O>,Transfer reaction,143.09462866256,4
<H+N+2O>,Redox reaction,47.0007282758,4
<3C>,Transfer reaction,36.0,4
<4H+10C+5O>,Redox reaction,204.00587322677,4
<15H+8C+N+3O>,Transfer reaction,173.10519334659,4
<64H+40C>,Transfer reaction,544.50080206272,4
<32H+18C+2O>,Others,280.24023027050004,4
<5H+8C+N>,Hydrolysis,115.04219916558,4
<20H+12C+9O>,Hydrolysis,308.11073222073003,4
<H+O+P-S>,Transfer reaction,16.00443047582,4
<11H+18C+3N>,Others,269.09529736782,4
<9H+5C+4O>,Hydrolysis,133.05008376835002,4
<9H+4C+N>,Transfer reaction,71.0734992945,4
<11H+10C+5N+3O>,Transfer reaction,249.08618923539,4
<8H+7C+4O>,Hydrolysis,156.04225873612,4
<-C+O>,Redox reaction,3.99491461957,4
<9H+4C+2O+P+S>,Hydrolysis,152.00608770203002,4
<21H+12C+N+9O>,Hydrolysis,323.12163125739005,4
<30H+18C+2O>,Others,278.22458020604,4
<20H+12C+O>,Others,180.15141526417,4
<6H+3C+2N+O>,Ligation reaction,86.04801282180999,4
<30H+15C+7N+13O+3P+S>,Transfer reaction,641.08351622198,4
<8H+4C+O>,Redox reaction,72.05751487741,4
<22H+11C+2N+9O+2P+S>,Ligation reaction,420.05212546529,4
<15H+8C+N+O>,Others,141.11536410745,4
<-4H+2O>,Redox reaction,27.95852911022,4
<18H+11C+O>,Others,166.13576519971002,4
<150H+78C+2O>,Others,1119.16358407364,4
<38H+20C+O>,Transfer reaction,294.29226584431,4
<46H+28C+2N+18O>,Others,698.2745626437,3
<41H+28C+5N+22O+2P>,Ligation reaction,861.17184197096,3
<16H+14C>,Others,184.12520051568,3
<H+4C+2N-2O-P>,Others,14.050381803529998,3
<13H+10C+5N+3O>,Others,251.10183929985,3
<12H+8C+2N+5O>,Others,216.07462149347,3
<16H+13C+3O>,Hydrolysis,220.10994437439,3
<12H+8C+2N+4O>,Hydrolysis,200.0797068739,3
<H+3C+3N+2O>,Hydrolysis,111.00687628466,3
<2Cl>,Others,69.937705364,3
<2H+N-O>,Transfer reaction,0.023809449319998,3
<2H+N-O+Cl>,Lytic reaction,34.99266213132,3
<12H+8C+N+2O-P>,Others,123.11304163191,3
<48H+24C+N+6O+P>,Others,477.32192526731,3
<9H+4C+N-2O>,Others,39.08367005536,3
<2C>,Others,24.0,3
<80H+50C>,Transfer reaction,680.6260025784,3
<8H+8C+O>,Redox reaction,120.05751487741,3
<3O+P>,Transfer reaction,78.95850585713,3
<7H+9C+N>,Others,129.05784923004,3
<29H+20C+3N+18O+2P>,Ligation reaction,661.0921350970601,3
<44H+27C>,Hydrolysis,368.34430141812,3
